hometown,race,Hispanic,sexual_orientation,gender,trans,first_gen,disables,household_income,athlete,rotc,secondary_school,classes_ap,classes_ib,classes_honors,classes_dual,extracurriculars,ai,gap_year,admissions,other_univ,sat_binary,sat_score,act_binary,act_score,admissions_assistance,legacy,legacy_binary,three_reasons,activities,college_accepted,college_switch,pre_professional,commons_house,commons_house_wish,financial_aid,merit_scholar,loans,greek_life,political_ideology,divest,abolish_gl,administration_politics,affirmative_action,legacy_opinion,abortion,gender_affirming_care,gun_control,vote,sex,romantic_relationships,alcohol,weed,drugs,fake_id
Tennessee,Asian/Pacific Islander,No,Heterosexual,Female,No,Yes,No,"$0 - $49,999",No,No,Public,9,My school did not offer,10+,1,"Academic Clubs/Competition, Advocacy, Community Service, Family Responsibilities",No,No,EDI,,No,,Yes,35,No,No,No,"Cost, Location, Academics",Campus tour,College of Arts of Science,No,No,East,East,"Yes, full cost of attendence",No,$0 ,No,1,5,7,4,2,1,7,7,7,"I am eligible to vote, but am not registered",No,0,Never,Never,None,N/A (I have never owned a fake ID)
Mississippi,White/Caucasian,Yes,Heterosexual,Male,No,Yes,No,"$0 - $49,999",No,No,Public,9,My school did not offer,10+,0,"Academic Clubs/Competition, Athletics, Community Service, Family Responsibilities, Internship (unpaid), Music, Model UN, Religious group, Speech and Debate, Student Government",No,No,EDI,,No,,Yes,36,No,No,No,"Academics, School size, Brand name/rankings","Campus tour, Anchor Day, Anchor Day (admitted students day)",School of Engineering,No,No,Gillette,Gillette,"Yes, full cost of attendence","Yes, full tuition",$0 ,Not sure,3,7,3,2,5,5,2,2,5,I am not eligible to vote,Yes,3,Never,Never,None,N/A (I have never owned a fake ID)
Macedonia,White/Caucasian,No,Heterosexual,Male,No,No,No,"$0 - $49,999",No,No,Private,My school did not offer,My school did not offer,My school did not offer,My school did not offer,Competitive programming,Yes,No,Regular Decision,,Yes,1540,No,,No,No,No,"Academics, School size, Faculty",None,School of Engineering,No,No,Crawford,Crawford,"Yes, full cost of attendence",No,$0 ,No,3,4,3,1,2,1,7,6,7,"Yes, in my home state/country",Yes,3,Four or more times a week,Never,None,N/A (I have never owned a fake ID)
Tennessee,White/Caucasian,No,Heterosexual,Male,No,No,No,"$300,000 - $499,999",No,No,Public,10+,My school did not offer,10+,0,"Academic Clubs/Competition, Athletics, Community Service, JROTC, Speech and Debate, Student Government, Visual Art, Work/Internship (Paid)",No,No,EDI,n/a,No,,Yes,34,No,No,No,"Location, Academics, Brand name/rankings",Anchor Day,College of Arts of Science,No,"Yes, as a pre-law student",Gillette,Gillette,No,No,$0 ,No,4,7,1,1,1,2,6,2,4,"Yes, in Tennessee",Yes,3,Never,Four or more times a week,"Cocaine, LSD (Acid), MDMA (Ecstasy/Molly), Psilocybin (Shrooms), Prescription Opioids (Oxy)",N/A (I have never owned a fake ID)
New Jersey,White/Caucasian,No,Heterosexual,Female,No,No,No,"$150,000 - $199,999",No,No,Public,10+,My school did not offer,10+,My school did not offer,"Academic Clubs/Competition, Athletics, Community Service, Internship (unpaid), Research",No,No,EDI,,No,,Yes,34,No,No,No,"Academics, Brand name/rankings, Campus","Campus tour, Commodore Launch",College of Arts of Science,"Yes, Peabody",No,Hank Ingram,Hank Ingram,No,No,$0 ,Not sure,4,3,5,4,2,2,6,4,4,"I am eligible to vote, but am not registered",No,0,Once a week,Never,None,N/A (I have never owned a fake ID)
North Dakota,Asian/Pacific Islander,No,Heterosexual,Female,No,No,No,"$150,000 - $199,999",No,No,Public,10+,My school did not offer,1,2,"Academic Clubs/Competition, Internship (unpaid), Research, Speech and Debate, Work/Internship (Paid)",No,No,Regular Decision,"Washington University St.Louis, Case Western, University of Minnesota",Yes,1540,No,,No,No,No,"Cost, Academics, Post-grad opportunities",Campus tour,College of Arts of Science,No,"Yes, as a pre-med student",Gillette,Hank Ingram,No,"Yes, full tuition",$0 ,Not sure,4,5,4,2,2,2,5,3,7,I am not eligible to vote,No,0,Never,Never,None,N/A (I have never owned a fake ID)
Texas,White/Caucasian,No,Heterosexual,Male,No,No,No,"$200,000 - $299,999",No,No,Private,My school did not offer,My school did not offer,10+,3,"Academic Clubs/Competition, Athletics, Community Service, Music, Religious group, Speech and Debate, Student Government, Theater, Visual Art, Work/Internship (Paid)",No,No,EDI,"Texas A&M, Colorado School of Mines, Baylor",No,,Yes,34,No,No,No,"Academics, School size, Campus",Campus tour,School of Engineering,No,No,Crawford,Crawford,No,No,I don't know,No,6,5,3,1,1,1,2,2,3,"I am eligible to vote, but am not registered",No,0,Never,Never,None,N/A (I have never owned a fake ID)
Tennessee,"White/Caucasian, Asian/Pacific Islander",No,Heterosexual,Female,No,No,No,"$0 - $49,999",No,No,Public,4,7,3,7,"Academic Clubs/Competition, Advocacy, Community Service, Cultural and Affinity Clubs, Dance, Family Responsibilities, Internship (unpaid), Music, Model UN, Student Government, Theater, Work/Internship (Paid)",Yes,No,EDI,,No,,No,,No,No,No,"Cost, Location, Academics","Campus tour, 'Dore For A Day, MOSAIC",College of Arts of Science,No,"Yes, as a pre-law student",Memorial,Hank Ingram,"Yes, full cost of attendence","Yes, full tuition",$0 ,Not sure,2,6,3,4,6,1,7,7,7,"Yes, in Tennessee",No,0,Once a month,Once a semester,None,N/A (I have never owned a fake ID)
New York,African American/Black,No,Heterosexual,Male,No,Yes,No,"$0 - $49,999",No,No,Public,10+,My school did not offer,My school did not offer,10+,"Family Responsibilities, Music",No,No,EDI,,Yes,1410,No,,No,No,No,"Location, Brand name/rankings",Commodore Launch,College of Arts of Science,No,"Yes, as a pre-med student",Hank Ingram,Hank Ingram,"Yes, full cost of attendence",No,$0 ,No,2,6,1,5,5,1,7,3,6,"I am eligible to vote, but am not registered",No,2,Never,Never,,N/A (I have never owned a fake ID)
Alabama,Asian/Pacific Islander,No,Bisexual/pansexual,Male,No,No,No,"$100,000 - $149,999",No,No,Public,10+,My school did not offer,4,0,"Academic Clubs/Competition, Advocacy, Athletics, Community Service, Journalism, Model UN",Yes,No,EDI,,No,,Yes,34,No,No,No,"Cost, Academics, Brand name/rankings",Campus tour,College of Arts of Science,"Yes, Peabody",No,Sutherland,Sutherland,"Yes, more than half the cost of attendance",No,$0 ,No,2,6,6,6,6,1,7,7,7,"Yes, in my home state/country",Yes,1,Never,Never,None,N/A (I have never owned a fake ID)
Illinois,African American/Black,No,Heterosexual,Female,No,No,No,"$100,000 - $149,999",No,No,Public,5,My school did not offer,10+,0,"Academic Clubs/Competition, Athletics, Community Service, Music",No,No,EDII,"Howard University, SIUE, Ball State, University of Pittsburgh, University of Houston, UIUC, NCAT, Governors State University, Langston University, MIZZOU, ",No,,No,,No,No,No,"Cost, Location, Academics","Commodore Launch, Anchor Day (admitted students day)",Peabody College of Education and Human Development,No,No,Gillette,Hank Ingram,"Yes, more than half the cost of attendance",No,"$40,000 - $49,999",Not sure,3,5,1,6,7,1,7,7,7,"I am eligible to vote, but am not registered",Yes,1,Never,Never,None,N/A (I have never owned a fake ID)
Tennessee,Asian/Pacific Islander,No,Bisexual/pansexual,Nonbinary or gender nonconforming,Yes,Yes,Yes,"$75,000 - $99,999",No,No,Charter,8,My school did not offer,9,My school did not offer,"Community Service, Model UN, Student Government, Theater, Youth in Government, National Honors Society,",No,No,EDI,"Tennessee Tech, Middle Tennessee State University, University of Alabama in Huntsville",No,,No,,No,No,No,"Cost, Location, Post-grad opportunities","Campus tour, 'Dore For A Day",School of Engineering,No,"Yes, as a pre-med student",North,North,"Yes, more than half the cost of attendance",No,$0 ,Not sure,2,6,5,6,6,2,7,7,7,"Yes, in Tennessee",Yes,5,Never,Never,None,N/A (I have never owned a fake ID)
California,Asian/Pacific Islander,No,Heterosexual,Male,No,No,No,"$50,000 - $74,999",No,No,Public,10+,My school did not offer,6,0,"Academic Clubs/Competition, Athletics, Community Service, Cultural and Affinity Clubs, Family Responsibilities, Music, Religious group",No,No,Waitlist,"Emory, CMU, UC Berkeley, UC Irvine, UCSB, UCR",No,,No,,No,No,No,"Cost, Academics, Brand name/rankings",None,College of Arts of Science,No,No,Hank Ingram,Gillette,"Yes, more than half the cost of attendance",No,"$5,000 - $9,999",Not sure,4,5,4,3,3,2,4,4,4,"I am eligible to vote, but am not registered",No,0,Never,Never,None,N/A (I have never owned a fake ID)
Kentucky,"African American/Black, Asian/Pacific Islander",No,Bisexual/pansexual,Female,No,Yes,No,"$0 - $49,999",No,No,Public,3,My school did not offer,10+,0,"Academic Clubs/Competition, Advocacy, Community Service, Family Responsibilities, Internship (unpaid), Journalism, Theater, Work/Internship (Paid)",No,No,Regular Decision,"University of Cincinnati, University of Louisville, University of Kentucky ",No,,Yes,29,No,No,No,"Cost, Academics, School size","Campus tour, Anchor Day, Commodore Launch, MOSAIC, Anchor Day (admitted students day)",Peabody College of Education and Human Development,No,No,Stambaugh,Stambaugh,"Yes, full cost of attendence",No,$0 ,Not sure,1,5,2,5,7,3,7,7,7,"Yes, in my home state/country",Yes,1,Once a semester,Once a semester,None,N/A (I have never owned a fake ID)
Texas,White/Caucasian,No,Heterosexual,Female,No,No,No,"$200,000 - $299,999",No,No,Charter,10+,My school did not offer,5,My school did not offer,"Academic Clubs/Competition, Athletics, Community Service, Internship (unpaid), Music",No,No,Regular Decision,,Yes,,No,,No,No,No,"Location, Academics, Brand name/rankings",Campus tour,School of Engineering,No,"Yes, as a pre-law student",Sutherland,Hank Ingram,No,No,I don't know,Not sure,3,6,5,3,4,1,7,7,7,"I am eligible to vote, but am not registered",No,0,Never,Never,None,N/A (I have never owned a fake ID)
Texas,Asian/Pacific Islander,No,Heterosexual,Male,No,No,No,"$200,000 - $299,999",No,No,Public,7,My school did not offer,7,7,"Academic Clubs/Competition, Advocacy, Athletics, Community Service, Family Responsibilities, Internship (unpaid), Religious group, Speech and Debate, Work/Internship (Paid)",Yes,No,Regular Decision,UT Austin,No,,No,,No,No,No,"Academics, Post-grad opportunities, Brand name/rankings",Campus tour,School of Engineering,"Yes, Peabody",No,Sutherland,Hank Ingram,"Yes, less than half the cost of attendance",No,$0 ,Not sure,3,7,4,5,4,3,2,6,6,"I am eligible to vote, but am not registered",No,1,Never,Never,None,N/A (I have never owned a fake ID)
New York,Asian/Pacific Islander,No,Heterosexual,Female,No,Yes,No,"$50,000 - $74,999",No,No,Public,My school did not offer,7,My school did not offer,My school did not offer,"Community Service, Family Responsibilities, Internship (unpaid), Model UN, Work/Internship (Paid)",Yes,No,Regular Decision,"Carnegie Mellon, Vassar, Stonybrook, ",No,,No,,No,No,No,"Cost, Academics, Brand name/rankings",Anchor Day (admitted students day),School of Engineering,No,No,Memorial,Stambaugh,"Yes, full cost of attendence",No,$0 ,No,4,4,2,3,5,2,4,4,5,I am registered to vote but do not vote,No,1,Once a semester,Never,,
Nevada,Asian/Pacific Islander,No,Heterosexual,Male,No,No,No,"$50,000 - $74,999",No,No,Public,10+,My school did not offer,8,1,"Academic Clubs/Competition, Athletics, Community Service, Cultural and Affinity Clubs, Family Responsibilities, Music, Religious group, Work/Internship (Paid)",No,No,Waitlist,,No,,No,,No,No,No,"Cost, Location, Brand name/rankings",Campus tour,College of Arts of Science,No,"Yes, as a pre-med student",Stambaugh,Stambaugh,"Yes, full cost of attendence",No,$0 ,No,4,4,5,2,3,1,6,2,6,I am registered to vote but do not vote,No,0,Never,Never,None,N/A (I have never owned a fake ID)
Tennessee,Native American/Alaskan Native,Yes,Heterosexual,Male,No,Yes,No,"$0 - $49,999",No,No,Public,4,My school did not offer,10+,My school did not offer,Music,No,No,EDII,,No,,Yes,35,No,No,No,"Location, Academics, Brand name/rankings","Anchor Day, Anchor Day (admitted students day)",College of Arts of Science,"Yes, Engineering",No,Hank Ingram,Hank Ingram,"Yes, more than half the cost of attendance",No,$0 ,No,2,6,7,5,5,1,7,5,7,I am registered to vote but do not vote,No,0,Never,Never,None,N/A (I have never owned a fake ID)
New Jersey,Native American/Alaskan Native,Yes,Heterosexual,Female,No,Yes,No,"$0 - $49,999",No,No,Public,1,My school did not offer,4,8,"Academic Clubs/Competition, Advocacy, Athletics, Community Service, Family Responsibilities, Journalism, Work/Internship (Paid)",No,No,Regular Decision,"Temple University, Rowan University, University of Wisconsin Madison, University of Connecticut, Cornell University (transfer program) ",No,,No,,No,No,No,"Cost, Academics, School size","Commodore Launch, MOSAIC",College of Arts of Science,No,"Yes, as a pre-med student",Stambaugh,Stambaugh,"Yes, full cost of attendence",No,$0 ,Not sure,1,5,4,2,1,1,7,7,6,"I am eligible to vote, but am not registered",No,0,Never,Never,None,N/A (I have never owned a fake ID)
Ukraine,White/Caucasian,No,Heterosexual,Female,No,No,No,"$0 - $49,999",No,No,Public,My school did not offer,My school did not offer,My school did not offer,My school did not offer,"Community Service, Dance, Research, Student Government",No,Yes,EDI,,No,,No,,No,No,No,"Cost, Location, Academics","Campus tour, MOSAIC",College of Arts of Science,No,No,East,Hank Ingram,"Yes, full cost of attendence",No,$0 ,Not sure,4,4,2,6,6,6,7,4,5,I am not eligible to vote,No,3,Never,Never,,N/A (I have never owned a fake ID)
Illinois,White/Caucasian,No,Heterosexual,Female,No,Yes,No,"$0 - $49,999",No,No,Public,7,My school did not offer,4,0,"Athletics, Community Service, Family Responsibilities, Internship (unpaid), Student Government, Work/Internship (Paid)",No,No,EDII,,No,,No,,No,No,No,"Location, Academics, Campus",Anchor Day,College of Arts of Science,No,No,Sutherland,Sutherland,"Yes, more than half the cost of attendance",No,$0 ,No,4,4,3,2,6,1,6,4,5,"I am eligible to vote, but am not registered",Yes,1,Never,Never,None,N/A (I have never owned a fake ID)
Georgia,African American/Black,No,Heterosexual,Male,No,Yes,No,"$0 - $49,999",No,No,Public,10+,My school did not offer,10+,0,"Academic Clubs/Competition, Athletics, Community Service, Internship (unpaid), Research, Work/Internship (Paid)",No,No,EDI,"Georgia State University, Mercer University",No,,No,,No,No,No,"Academics, Post-grad opportunities, Campus",Campus tour,College of Arts of Science,No,"Yes, on another pre-professional track",Crawford,Crawford,"Yes, full cost of attendence","Yes, full tuition",$0 ,Not sure,3,4,1,2,5,1,7,4,5,"Yes, in my home state/country",Yes,1,Never,Never,None,N/A (I have never owned a fake ID)
Idaho,White/Caucasian,No,Gay/lesbian,Male,No,Yes,No,"$50,000 - $74,999",No,No,Public,My school did not offer,My school did not offer,My school did not offer,4,"Academic Clubs/Competition, Athletics, Community Service, Family Responsibilities, Student Government, Theater, Work/Internship (Paid), FFA",No,No,EDI,"University of Idaho, University of Montana, Idaho State University",No,,No,,No,No,No,"Cost, Location, Academics",Dore For A Day,College of Arts of Science,No,"Yes, as a pre-med student",North,North,"Yes, full cost of attendence",No,"$5,000 - $9,999",No,4,4,4,4,4,1,1,7,4,"I am eligible to vote, but am not registered",No,0,Never,Never,None,N/A (I have never owned a fake ID)
California,Asian/Pacific Islander,No,Heterosexual,Female,No,No,No,"$0 - $49,999",No,No,Public,10+,My school did not offer,5,3,"Academic Clubs/Competition, Community Service, Internship (unpaid), Model UN, Speech and Debate",No,No,EDI,,No,,Yes,35,No,No,No,"Cost, Academics, Post-grad opportunities",None,College of Arts of Science,No,"Yes, as a pre-med student",Hank Ingram,Hank Ingram,"Yes, full cost of attendence",No,$0 ,No,4,5,4,4,3,2,2,4,4,I am not eligible to vote,No,1,Never,Never,None,N/A (I have never owned a fake ID)
Texas,White/Caucasian,Yes,Heterosexual,Female,No,No,No,"$75,000 - $99,999",No,No,Public,6,7,3,0,"Academic Clubs/Competition, Music, Model UN",No,No,Regular Decision,"Oberlin, UMich, University of Wisconsin Madison, University of Colorado Boulder",No,,No,,No,No,No,"Cost, Academics, Faculty","Campus tour, Anchor Day (admitted students day)",Blair School of Music,No,No,Gillette,Murray,No,"Yes, full tuition","$30,000 - $39,999",No,3,4,7,4,4,1,7,7,7,"I am eligible to vote, but am not registered",No,0,Never,Never,None,N/A (I have never owned a fake ID)
Minnesota,Asian/Pacific Islander,No,Heterosexual,Female,No,No,No,"$200,000 - $299,999",No,No,Private,10+,0,3,0,"Academic Clubs/Competition, Athletics, Cultural and Affinity Clubs, Journalism, Speech and Debate, Student Government, Visual Art",No,No,Regular Decision,"U of Minnesota, UC Santa Barbara, University of Wisconsin Madison",Yes,1580,No,,No,No,No,"Location, Academics, Brand name/rankings",Commodore Launch,School of Engineering,No,No,Murray,Stambaugh,"Yes, less than half the cost of attendance",No,$0 ,No,3,7,3,3,1,1,7,3,7,I am registered to vote but do not vote,Yes,4,Once a month,Never,None,Michigan
